GEOID,COUNTYFP,VTD,total_reg,age_18_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_84,age_85over,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk,g20201103,p20200804,r20200714,s20200707,r20200707,r20200630,s20200623,pp20200310,s20200204,s20200121,s20191105,s20190820,r20190604,r20190521,g20181106,r20180911,p20180807,g20161108,p20160802,pp20160315,g20141104,p20140805,g20121106,p20120807,pp20120207,g20101102,p20100803
29047000072,047,000072,2768,53,225,142,176,457,530,574,395,163,53,2070,359,339,0,0,2405,68,10,27,41,217,2405,10,66,18,9,7,0,5,3,7,2,3,2,2,2,1,3,2,1,2,217,2285,772,0,0,0,0,0,504,0,0,27,0,0,0,1785,0,863,1952,485,944,898,512,1779,420,111,1186,475
29047000073,047,000073,4313,71,334,334,379,855,779,702,523,261,75,2663,453,1197,0,0,3788,92,12,31,32,358,3788,11,91,10,15,6,4,1,7,4,2,2,2,1,1,0,2,1,1,0,358,3080,1140,0,0,0,0,0,756,0,0,14,1,0,0,2214,1,1099,2564,664,1203,1492,689,2231,565,155,1363,577
29047000074,047,000074,2811,45,208,122,149,403,524,644,475,193,48,2152,336,323,0,0,2490,50,11,18,15,227,2490,10,50,3,4,4,3,5,0,2,3,0,2,3,0,2,0,0,0,0,227,2317,947,0,0,0,0,0,587,0,0,8,0,0,0,1776,0,928,1970,546,1020,1149,604,1769,468,125,1227,484
29047000075,047,000075,2048,35,169,156,167,399,435,328,220,111,27,1296,249,503,0,0,1742,59,3,21,20,203,1742,3,57,10,8,4,4,1,5,1,2,0,2,0,0,0,0,2,0,2,203,1588,582,0,0,0,0,0,380,0,0,3,0,0,0,1151,0,567,1298,273,554,692,306,1079,254,72,662,258
29047000076,047,000076,1003,10,75,67,62,142,150,196,168,112,21,657,139,207,0,0,905,8,1,8,3,78,905,1,8,0,3,1,0,1,1,1,2,0,0,1,0,0,0,0,0,0,78,797,324,0,0,0,0,0,198,0,0,7,0,0,0,620,0,348,694,196,363,326,214,629,179,58,447,174
29047000077,047,000077,1410,17,105,94,99,233,211,202,239,144,65,776,246,388,0,0,1245,37,1,9,5,113,1245,1,37,0,5,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,113,1055,442,0,0,0,0,0,322,0,0,5,0,0,0,813,0,499,917,239,455,452,290,805,270,74,598,251
29047000078,047,000078,1009,12,77,58,60,137,150,202,198,92,23,693,127,189,0,0,867,38,0,6,9,89,867,0,34,5,1,0,3,1,1,0,3,0,0,0,0,0,0,4,0,0,89,817,335,0,0,0,0,0,229,0,0,1,0,0,0,650,0,400,706,210,364,348,245,631,197,69,464,226
2904716-214,047,16-214,1713,46,130,116,181,464,409,214,106,40,7,1118,225,370,0,0,1423,69,31,19,24,147,1423,31,69,13,5,1,7,8,1,1,4,0,0,2,0,0,1,0,0,0,147,1399,365,0,0,0,0,0,294,0,0,115,0,0,0,986,0,402,1127,195,487,417,213,919,150,36,551,168
2904716-215,047,16-215,4670,84,323,269,451,1441,1016,504,385,140,56,3268,584,818,0,0,3891,192,39,88,64,396,3891,39,190,29,28,15,17,24,13,3,4,0,0,1,5,0,1,2,2,1,396,3761,1004,0,0,0,0,0,879,0,0,385,0,0,0,2530,0,1070,2982,526,1303,1109,526,2499,432,106,1428,428
2904716-216,047,16-216,1758,39,142,92,101,404,392,235,197,140,15,1140,291,327,0,0,1419,82,36,25,17,179,1419,36,82,4,12,8,5,3,2,0,0,2,0,2,0,0,0,0,1,0,179,1480,502,0,0,0,0,0,420,0,0,153,0,0,0,1157,0,511,1239,258,602,530,306,1072,230,52,662,219
29047162127,047,162127,4920,84,371,353,399,1259,1123,662,429,173,66,3248,694,978,0,0,3965,192,95,99,96,473,3965,95,190,41,27,17,20,38,4,2,6,2,2,2,1,6,5,2,2,6,473,3887,1013,0,0,0,0,0,875,0,0,333,0,0,0,2573,0,1137,3017,794,1305,1144,574,2590,514,109,1509,451
29049000002,049,000002,4246,61,353,345,381,718,629,700,592,336,130,2072,944,1230,0,0,3774,70,13,20,25,344,3774,13,68,8,12,2,1,2,3,0,1,0,1,2,0,1,0,2,0,5,344,2847,1214,0,0,0,0,0,841,0,0,500,1,0,0,2189,0,1275,2556,898,1297,1278,1052,2154,849,221,1580,772
29049000003,049,000003,1716,23,154,132,151,254,275,304,236,141,46,1028,236,452,0,0,1524,12,10,6,11,153,1524,10,12,3,2,2,1,1,1,0,0,0,4,0,1,0,0,0,0,1,153,1309,550,0,0,0,0,0,314,0,0,3,0,0,0,999,1,604,1146,387,549,568,412,1010,364,100,704,355
29049000005,049,000005,2340,32,193,172,173,302,355,436,386,212,78,1336,391,613,0,0,2075,50,45,10,5,155,2075,45,49,2,4,2,0,3,0,0,0,1,1,0,0,0,0,1,0,0,155,1692,728,0,0,0,0,0,475,0,0,1,0,0,0,1341,0,771,1478,573,709,837,652,1312,614,116,906,558
29049000006,049,000006,1821,12,111,126,124,231,269,419,350,132,47,1070,337,414,0,0,1607,35,6,7,20,146,1607,6,35,1,1,1,9,0,5,5,0,0,0,3,0,0,2,0,0,0,146,1411,569,0,0,0,0,0,387,0,0,7,0,0,0,1095,0,659,1216,427,638,625,454,1076,358,96,736,354
29049000007,049,000007,2349,37,168,152,156,321,413,532,351,177,41,1519,240,590,0,0,2108,39,6,7,11,178,2108,6,39,5,2,1,3,2,2,0,0,0,2,0,0,0,1,0,0,0,178,1860,707,0,0,0,0,0,478,0,0,5,0,0,0,1414,0,908,1575,522,775,771,540,1371,433,122,917,446
29049000008,049,000008,2223,46,192,148,167,362,399,395,288,183,43,1158,440,625,0,0,2000,34,4,14,12,159,2000,4,34,5,6,3,4,0,4,0,1,0,1,0,0,0,0,0,0,0,159,1642,714,0,0,0,0,0,418,0,0,1,0,0,0,1256,0,829,1424,523,698,736,556,1231,490,113,843,504
29051000002,051,000002,2823,41,204,226,245,488,414,457,402,226,119,1608,374,841,0,0,2386,96,31,22,28,260,2386,31,96,8,8,8,14,2,1,2,0,0,1,2,0,0,0,0,0,0,260,2115,914,0,0,0,0,0,664,0,0,7,0,0,0,1696,0,940,1830,894,1035,1034,711,1594,631,249,1194,721
29051000003,051,000003,1611,19,111,101,121,261,248,313,274,130,33,1124,151,336,0,0,1412,7,1,2,11,178,1412,1,7,5,0,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,178,1293,589,0,0,0,0,1,333,0,0,1,0,0,0,1070,0,712,1175,602,607,654,514,1056,357,120,801,463
29051000004,051,000004,2166,38,162,173,170,331,281,419,374,175,43,1413,259,494,0,0,1861,21,19,11,9,245,1861,19,21,1,4,5,2,1,1,1,0,0,0,0,1,0,0,0,0,3,245,1765,862,0,0,0,0,0,490,0,0,4,0,0,0,1436,0,889,1535,796,858,921,594,1338,537,209,1029,632
29051000005,051,000005,743,5,46,45,46,111,100,168,139,67,16,536,81,126,0,0,657,8,0,4,2,72,657,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,613,306,0,0,0,0,0,177,0,0,0,0,0,0,496,0,334,554,279,300,345,267,504,202,74,399,261
